<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200324,210000,14.167,14.289,14.101,14.182,2483
20200324,220000,14.187,14.329,14.146,14.267,1018
20200325,000000,14.293,14.478,14.242,14.430,1389
20200325,010000,14.429,14.659,14.412,14.642,1317
20200325,020000,14.642,14.701,14.284,14.304,1786
20200325,030000,14.315,14.411,14.259,14.374,3745
20200325,040000,14.370,14.384,14.176,14.323,1656
20200325,050000,14.319,14.404,14.302,14.348,1086
20200325,060000,14.351,14.389,14.296,14.384,699
20200325,070000,14.385,14.475,14.317,14.448,2181
20200325,080000,14.449,14.573,14.385,14.479,1902
20200325,090000,14.486,14.491,14.278,14.346,1231
20200325,100000,14.341,14.349,14.244,14.336,1553
20200325,110000,14.337,14.521,14.314,14.443,1577
20200325,120000,14.433,14.463,14.126,14.198,1714
20200325,130000,14.194,14.289,14.138,14.167,1949
20200325,140000,14.166,14.189,13.996,14.107,3156
20200325,150000,14.108,14.306,14.079,14.201,4898
20200325,160000,14.201,14.284,14.167,14.237,4511
