<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130911,000000,22.919,23.190,22.732,23.138,18108
20130912,000000,23.151,23.186,21.671,21.673,24772
20130913,000000,21.782,22.216,21.371,22.171,23940
20130916,000000,22.236,22.381,21.634,21.748,25053
20130917,000000,21.728,22.082,21.595,21.678,22503
20130918,000000,21.688,23.199,21.187,22.863,30925
20130919,000000,22.929,23.386,22.794,22.996,27664
20130920,000000,22.980,23.119,21.703,21.739,27428
20130923,000000,21.740,21.901,21.252,21.566,25725
20130924,000000,21.595,21.976,21.285,21.646,24475
20130925,000000,21.676,21.910,21.444,21.711,21040
20130926,000000,21.732,22.072,21.605,21.636,21492
20130927,000000,21.654,22.100,21.464,21.736,21282
20130930,000000,21.854,22.035,21.396,21.618,16350
20131001,000000,21.625,21.918,20.586,21.101,20861
20131002,000000,21.108,21.986,20.937,21.663,19223
20131003,000000,21.689,21.811,21.376,21.604,22343
20131004,000000,21.659,21.880,21.461,21.681,14190
20131007,000000,21.684,22.437,21.606,22.298,15825
20131008,000000,22.322,22.460,22.100,22.228,18819
20131009,000000,22.256,22.356,21.738,21.826,20784
20131010,000000,21.833,22.190,21.506,21.618,19560
20131011,000000,21.611,21.813,20.938,21.302,26103
20131014,000000,21.338,21.642,21.069,21.243,21470
20131015,000000,21.228,21.485,20.481,21.236,28744
20131016,000000,21.253,21.401,21.091,21.336,24088
20131017,000000,21.315,22.161,21.071,21.833,27724
20131018,000000,21.845,22.005,21.698,21.876,17409
20131021,000000,21.854,22.293,21.806,22.183,17545
20131022,000000,22.166,22.790,21.951,22.626,19403
20131023,000000,22.655,22.776,22.468,22.493,18453
20131024,000000,22.482,22.849,22.463,22.652,17246
20131025,000000,22.675,22.706,22.228,22.499,17909
20131028,000000,22.552,22.683,22.332,22.450,15777
20131029,000000,22.478,22.592,22.277,22.458,17400
20131030,000000,22.479,23.067,22.348,22.658,21975
20131031,000000,22.636,22.641,21.743,21.866,20522
20131101,000000,21.853,21.958,21.684,21.839,17905
20131104,000000,21.788,21.912,21.575,21.611,12681
20131105,000000,21.609,21.764,21.536,21.654,12670
20131106,000000,21.657,22.051,21.591,21.751,11385
20131107,000000,21.786,21.990,21.373,21.613,17658
20131108,000000,21.626,21.889,21.251,21.467,17174
20131111,000000,21.402,21.445,21.226,21.301,13284
20131112,000000,21.330,21.334,20.562,20.648,18053
20131113,000000,20.671,20.854,20.422,20.568,17559
20131114,000000,20.558,20.879,20.558,20.735,18584
20131115,000000,20.755,20.824,20.552,20.766,12584
20131118,000000,20.744,20.780,20.297,20.374,12603
20131119,000000,20.381,20.480,20.185,20.334,11666
20131120,000000,20.341,20.472,19.766,19.809,21452
20131121,000000,19.822,20.043,19.708,19.934,16250
20131122,000000,19.965,20.026,19.815,19.831,11874
20131125,000000,19.832,20.293,19.570,20.162,17725
20131126,000000,20.134,20.272,19.783,19.783,13368
20131127,000000,19.796,20.097,19.617,19.632,13006
20131128,000000,19.634,19.774,19.601,19.689,7021
20131129,000000,19.704,20.065,19.651,19.941,8546
20131202,000000,19.928,19.951,19.095,19.105,17630
20131203,000000,19.160,19.316,18.963,19.071,15119
20131204,000000,19.058,19.872,18.874,19.622,19873
20131205,000000,19.634,19.712,19.218,19.354,19923
20131206,000000,19.367,19.768,19.158,19.470,18223
20131209,000000,19.514,19.975,19.413,19.797,10279
20131210,000000,19.766,20.415,19.720,20.357,15973
20131211,000000,20.342,20.466,20.208,20.248,13888
20131212,000000,20.263,20.332,19.404,19.441,17067
20131213,000000,19.460,19.734,19.264,19.668,15547
20131216,000000,19.633,20.281,19.439,19.957,16443
20131217,000000,19.951,20.208,19.675,19.888,19681
20131218,000000,19.909,20.255,19.648,19.666,24232
20131219,000000,19.667,19.886,19.111,19.191,24455
20131220,000000,19.195,19.517,19.114,19.364,15543
20131223,000000,19.373,19.520,19.253,19.387,13664
20131224,000000,19.416,19.481,19.302,19.468,6899
20131226,000000,19.487,20.032,19.477,19.744,6556
20131227,000000,19.746,20.099,19.736,20.039,12774
20131230,000000,20.054,20.153,19.457,19.519,12678
20131231,000000,19.553,19.811,18.696,19.459,16663
20140102,000000,20.051,20.209,19.867,19.961,14244
20140103,000000,19.961,20.295,19.961,20.124,18686
20140106,000000,20.125,20.334,19.933,20.121,20020
20140107,000000,20.141,20.250,19.616,19.801,17327
20140108,000000,19.793,19.836,19.285,19.481,19226
20140109,000000,19.536,19.698,19.388,19.502,15663
20140110,000000,19.517,20.235,19.517,20.114,17965
20140113,000000,20.129,20.445,19.940,20.339,15357
20140114,000000,20.358,20.586,20.130,20.214,16289
20140115,000000,20.227,20.234,19.917,20.142,13725
20140116,000000,20.157,20.213,19.958,20.052,11167
20140117,000000,20.066,20.408,19.952,20.262,11259
20140120,000000,20.247,20.391,20.235,20.281,6919
20140121,000000,20.264,20.298,19.668,19.815,11889
20140122,000000,19.844,19.916,19.730,19.766,8289
20140123,000000,19.746,20.294,19.618,19.978,15100
20140124,000000,19.946,20.274,19.710,19.878,15234
20140127,000000,19.890,20.057,19.547,19.634,16643
20140128,000000,19.630,19.809,19.450,19.538,13106
20140129,000000,19.543,19.956,19.440,19.676,16826
20140130,000000,19.692,19.700,18.983,19.113,16225
20140131,000000,19.141,19.459,19.068,19.141,12886
20140203,000000,19.107,19.621,19.063,19.285,13230
20140204,000000,19.298,19.509,19.258,19.463,11760
20140205,000000,19.446,20.234,19.436,19.861,14502
20140206,000000,19.841,20.166,19.830,19.877,13178
20140207,000000,19.905,20.055,19.754,19.995,13674
20140210,000000,19.948,20.275,19.948,20.020,12225
20140211,000000,20.040,20.272,19.912,20.215,16136
20140212,000000,20.206,20.380,20.074,20.211,11755
20140213,000000,20.208,20.505,20.119,20.450,11206
20140214,000000,20.464,21.466,20.434,21.450,15928
20140217,000000,21.512,21.958,21.483,21.788,12852
20140218,000000,21.765,21.956,21.299,21.915,16910
20140219,000000,21.883,21.920,21.352,21.504,16054
20140220,000000,21.505,21.872,21.379,21.750,15961
20140221,000000,21.785,21.949,21.560,21.810,11788
20140224,000000,21.848,22.159,21.495,21.905,15373
20140225,000000,21.923,22.001,21.658,21.850,12737
20140226,000000,21.835,22.018,21.076,21.203,16374
20140227,000000,21.168,21.468,20.976,21.254,14562
20140228,000000,21.243,21.388,21.062,21.195,14616
20140303,000000,21.318,21.702,21.211,21.395,18454
20140304,000000,21.397,21.496,21.008,21.118,15219
20140305,000000,21.149,21.298,21.105,21.105,11186
20140306,000000,21.140,21.614,21.066,21.403,12951
20140307,000000,21.433,21.566,20.734,20.875,16360
20140310,000000,20.841,21.020,20.591,20.804,14245
20140311,000000,20.795,21.290,20.640,20.834,15409
20140312,000000,20.830,21.397,20.790,21.276,17381
20140313,000000,21.279,21.442,21.075,21.121,16067
20140314,000000,21.152,21.763,21.107,21.413,16683
20140317,000000,21.413,21.616,21.100,21.152,14303
20140318,000000,21.164,21.218,20.604,20.782,16246
20140319,000000,20.812,20.939,20.478,20.582,20694
20140320,000000,20.580,20.700,20.117,20.256,17010
20140321,000000,20.267,20.560,20.243,20.295,11977
20140324,000000,20.227,20.285,19.893,19.893,16070
20140325,000000,19.920,20.191,19.879,19.930,15213
20140326,000000,19.972,20.118,19.664,19.690,15742
20140327,000000,19.720,19.839,19.556,19.668,17855
20140328,000000,19.694,19.904,19.607,19.805,13881
20140331,000000,19.805,19.988,19.709,19.727,16769
20140401,000000,19.752,19.890,19.622,19.692,12926
20140402,000000,19.722,20.126,19.722,19.940,15001
20140403,000000,19.928,20.065,19.648,19.790,11248
20140404,000000,19.816,20.212,19.770,19.935,11920
20140407,000000,19.916,19.994,19.766,19.841,8390
20140408,000000,19.859,20.158,19.841,20.030,11043
20140409,000000,19.993,20.080,19.595,19.839,12732
20140410,000000,19.835,20.374,19.835,20.000,13381
20140411,000000,19.998,20.114,19.895,19.970,11276
20140414,000000,19.950,20.121,19.712,19.930,11047
20140415,000000,19.942,19.984,19.218,19.535,16675
